,class,message,Unnamed: 2,Unnamed: 3,Unnamed: 4
985,valid,Carlos says he'll be at mu in  &lt;#&gt;  minutes,,,
986,valid,I'm in office now . I will call you  &lt;#&gt;  min:),,,
987,valid,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*",,,
988,valid,"Yun ah.the ubi one say if Ì_ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.Ì¬n",,,
989,valid,Ugh. Gotta drive back to sd from la. My butt is sore.,,,
990,valid,26th OF JULY,,,
991,valid,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,,,
992,valid,Up to Ì_... ÌÏ wan come then come lor... But i din c any stripes skirt...,,,
993,valid,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,,,
994,valid,"I can't, I don't have her number!",,,
995,valid,Change again... It's e one next to escalator...,,,
996,valid,Yetunde i'm in class can you not run water on it to make it ok. Pls now.,,,
997,valid,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? ,,,
998,valid,Then Ì_ wait 4 me at bus stop aft ur lect lar. If i dun c Ì_ then i go get my car then come back n pick Ì_.,,,
999,valid,"Aight will do, thanks again for comin out",,,
1000,valid,No..but heard abt tat..,,,
1001,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
1002,valid,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,,,
1003,valid,&lt;#&gt;  am I think? Should say on syllabus,,,
1004,valid,Umma. Did she say anything,,,
1005,valid,Give me a sec to think think about it,,,
1006,spam,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,,,
1007,valid,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,,,
1008,valid,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",,,
1009,valid,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",,,
1010,valid,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,,,
1011,valid,"I just got home babe, are you still awake ?",,,
1012,valid,I dunno they close oredi not... ÌÏ v ma fan...,,,
1013,valid,Just buy a pizza. Meat lovers or supreme. U get to pick.,,,
1014,valid,"Ya, told..she was asking wats matter?",,,
1015,valid,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!",,,
1016,spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,,,
1017,valid,Shall i send that exe to your mail id.,,,
1018,valid,Nope watching tv at home... Not going out. V bored...,,,
1019,valid,Don know..wait i will check it.,,,
1020,valid,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen",,,
1021,spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,,,
1022,valid,We still on for tonight?,,,
1023,valid,May i call You later Pls,,,
1024,valid,Hasn't that been the pattern recently crap weekends?,,,
1025,valid,I have a sore throat. It's scratches when I talk,,,
1026,valid,Yes da. Any plm at ur office,,,
1027,valid,Are you not around or just still asleep? :V,,,
1028,valid,"Lol you forgot it eh ? Yes, I'll bring it in babe",,,
1029,valid,"Its good, we'll find a way",,,
1030,valid,Can not use foreign stamps in this country. Good lecture .,,,
1031,valid,Yup bathe liao...,,,
1032,valid,HAPPY NEW YEAR MY NO.1 MAN,,,
1033,valid,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",,,
1034,valid,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG,,,
1035,valid,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",,,
1036,valid,"No my blankets are sufficient, thx",,,
1037,valid,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",,,
1038,valid,"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM",GN,GE,"GNT:-)"""
1039,valid,They just talking thats it de. They wont any other.,,,
1040,valid,Today am going to college so am not able to atten the class.,,,
1041,valid,I'm in class. Will holla later,,,
1042,valid,Easy ah?sen got selected means its good..,,,
1043,valid,Mmm thats better now i got a roast down me! iåÕd b better if i had a few drinks down me 2! Good indian?,,,
1044,spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",,,
1045,valid,"Come round, it's . ",,,
1046,valid,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\""""",,,
1047,spam,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!",,,
1048,valid,I walked an hour 2 c u! doesnåÕt that show I care y wont u believe im serious?,,,
1049,spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,,,
1050,valid,Are you available for soiree on June 3rd?,,,
1051,valid,Do u noe wat time e place dat sells 4d closes?,,,
1052,valid,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished",,,
1053,valid,Jay's getting really impatient and belligerent,,,
1054,valid,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.,,,
1055,valid,I'm at work. Please call,,,
1056,valid,Then u drive lor.,,,
1057,valid,Ard 515 like dat. Y?,,,
1058,valid,Tell me they're female :V how're you throwing in? We're deciding what all to get now,,,
1059,spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,,,
1060,valid,I'm working technical support :)voice process.networking field.,,,
1061,valid,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,,,
1062,valid,Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.,,,
1063,spam,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,,,
1064,valid,"That's fine, I'll bitch at you about it later then",,,
1065,valid,No my mum went 2 dentist.,,,
1066,valid,Once free call me sir. I am waiting for you.,,,
1067,valid,Meeting u is my work. . . Tel me when shall i do my work tomorrow,,,
1068,spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,,,
1069,valid,Jus finish bathing...,,,
1070,valid,"alright, I'll make sure the car is back tonight",,,
1071,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,,,
1072,spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,,,
1073,valid,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.,,,
1074,valid,Aight ill get on fb in a couple minutes,,,
1075,valid,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,,,
1076,valid,Where can download clear movies. Dvd copies.,,,
1077,valid,"Yep, by the pretty sculpture",,,
1078,valid,Convey my regards to him,,,
1079,valid,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI,,,
1080,valid,You tell what happen dont behave like this to me. Ok no need to say,,,
1081,valid,Can u get pic msgs to your phone?,,,
1082,valid,Send to someone else :-),,,
1083,valid,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,,,
1084,valid,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..,,,
1085,valid,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)",,,
1086,valid,I don't think he has spatula hands!,,,
1087,valid,You can never do NOTHING,,,
1088,spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99,,,
1089,valid,Goodmorning today i am late for  &lt;DECIMAL&gt; min.,,,
1090,spam,WIN URGENT! Your mobile number has been awarded with a å£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,,,
1091,valid,Please da call me any mistake from my side sorry da. Pls da goto doctor.,,,
1092,valid,Where r we meeting?,,,
1093,valid,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home.",,,
1094,valid,Now only i reached home. . . I am very tired now. . I will come tomorro,,,
1095,valid,Ryder unsold.now gibbs.,,,
1096,spam,Dear Subscriber ur draw 4 å£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062,,,
1097,valid,Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.,,,
1098,valid,NO GIFTS!! You trying to get me to throw myself off a cliff or something?,,,
1099,valid,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.,,,
1100,valid,You busy or can I come by at some point and figure out what we're doing tomorrow,,,
1101,valid,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",,,
1102,valid,Black shirt n blue jeans... I thk i c Ì_...,,,
1103,valid,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.,,,
1104,spam,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,,,
1105,valid,on hen night. Going with a swing,,,
1106,valid,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*",,,
1107,valid,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,,,
1108,valid,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),,,
1109,valid,S s..first time..dhoni rocks...,,,
1110,valid,Ok ill tell the company,,,
1111,valid,"Awesome, think we can get an 8th at usf some time tonight?",,,
1112,valid,So that means you still think of teju,,,
1113,valid,"No I'm good for the movie, is it ok if I leave in an hourish?",,,
1114,valid,No no:)this is kallis home ground.amla home town is durban:),,,
1115,valid,So lets make it saturday or monday as per convenience.,,,
1116,valid,Hey... What time is your driving on fri? We go for evaluation on fri?,,,
1117,spam,"449050000301 You have won a å£2,000 price! To claim, call 09050000301.",,,
1118,valid,I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.,,,
1119,spam,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",,,
1120,valid,Cancel cheyyamo?and get some money back?,,,
1121,spam,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,,,
1122,valid,Ok.ok ok..then..whats ur todays plan,,,
1123,valid,Good morning princess! How are you?,,,
1124,valid,Aiyar sorry lor forgot 2 tell u...,,,
1125,spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,,,
1126,valid,Not tonight mate. Catching up on some sleep. This is my new number by the way. ,,,
1127,valid,"Height of \Oh shit....!!\"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay",".;-):-D""",,
1128,spam,Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,,,
1129,valid,"So check your errors and if you had difficulties, do correction.",,,
1130,valid,Howz pain?hope u r fine..,,,
1131,valid,"Sorry, I'll call later",,,
1132,valid,Good morning princess! How are you?,,,
1133,valid,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
1134,valid,U wake up already? Thanx 4 e tau sar piah it's quite nice.,,,
1135,valid,K do I need a login or anything,,,
1136,spam,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,,,
1137,valid,LOL ... No just was busy,,,
1138,valid,What * u wearing?,,,
1139,valid,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,,,
1140,valid,Oh:)as usual vijay film or its different?,,,
1141,spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,,,
1142,valid,Have you had a good day? Mine was really busy are you up to much tomorrow night?,,,
1143,valid,And is there a way you can send shade's stuff to her. And she has been wonderful too.,,,
1144,valid,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,,,
1145,spam,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",,,
1146,valid,Babe ? I lost you ... :-(,,,
1147,valid,Ok... Help me ask if she's working tmr a not?,,,
1148,valid,I'm not driving... Raining! Then i'll get caught at e mrt station lor.,,,
1149,valid,Not a drop in the tank,,,
1150,valid,(That said can you text him one more time?),,,
1151,valid,"Sorry, I'll call later",,,
1152,valid,Ok i go change also...,,,
1153,spam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(å£1.50p. m),,,
1154,valid,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,,,
1155,valid,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up",,,
1156,valid,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,,,
1157,valid,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment,,,
1158,valid,Hey! There's veggie pizza... :/,,,
1159,valid,Yun buying... But school got offer 2000 plus only...,,,
1160,valid,You sure your neighbors didnt pick it up,,,
1161,valid,K. I will sent it again,,,
1162,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,,,
1163,valid,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",,,
1164,valid,Well. Im computerless. Time to make some oreo truffles,,,
1165,valid,"Haha yeah I see that now, be there in a sec",,,
1166,valid,I am not having her number sir,,,
1167,valid,Lol now I'm after that hot air balloon!,,,
1168,valid,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,,,
1169,valid,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil,,,
1170,valid,"Yeah, we can probably swing by once my roommate finishes up with his girl",,,
1171,spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",,,
1172,valid,Happy new years melody!,,,
1173,valid,ÌÏ dun need to pick ur gf?,,,
1174,valid,Yay! You better not have told that to 5 other girls either.,,,
1175,valid,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?,,,
1176,valid,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? ",,,
1177,valid,Just nw i came to hme da..,,,
1178,valid,"I'm outside islands, head towards hard rock and you'll run into me",,,
1179,valid,To day class is there are no class.,,,
1180,valid,I'm in chennai velachery:),,,
1181,valid,You flippin your shit yet?,,,
1182,valid,"K give me a sec, breaking a  &lt;#&gt;  at cstore",,,
1183,valid,Am i that much bad to avoid like this?,,,
1184,valid,"Yo, you around? Just got my car back",,,
1185,valid,Annoying isn't it.,,,
1186,valid,"Goodmorning, Today i am late for  &lt;#&gt; min.",,,
1187,valid,There's no point hangin on to mr not right if he's not makin u happy,,,
1188,valid,All will come alive.better correct any good looking figure there itself..,,,
1189,valid,In that case I guess I'll see you at campus lodge,,,
1190,valid,We're done...,,,
1191,valid,Come to my home for one last time i wont do anything. Trust me.,,,
1192,valid,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,,,
1193,spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 å£3/wk 087016248,,,
1194,valid,Ok... C ya...,,,
1195,spam,You have 1 new voicemail. Please call 08719181503,,,
1196,valid,What he said is not the matter. My mind saying some other matter is there.,,,
1197,valid,He also knows about lunch menu only da. . I know,,,
1198,valid,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx",,,
1199,valid,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,,,
1200,valid,Otherwise had part time job na-tuition..,,,
1201,valid,I know she called me,,,
1202,valid,"Me also da, i feel yesterday night  wait til 2day night dear.",,,
1203,valid,Thanks for understanding. I've been trying to tell sura that.,,,
1204,spam,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,,,
1205,valid,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.,,,
1206,spam,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",,,
1207,valid,I need you to be in my strong arms...,,,
1208,valid,Also maaaan are you missing out,,,
1209,valid,His bday real is in april .,,,
1210,valid,Guessin you ain't gonna be here before 9?,,,
1211,valid,Ok then i will come to ur home after half an hour,,,
1212,valid,"Yo, the game almost over? Want to go to walmart soon",,,
1213,valid,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",,,
1214,valid,I'll text now! All creepy like so he won't think that we forgot,,,
1215,valid,"that would be good Û_ I'll phone you tomo lunchtime, shall I, to organise something?",,,
1216,spam,You have 1 new voicemail. Please call 08719181513.,,,
1217,valid,"Damn, can you make it tonight or do you want to just wait til tomorrow",,,
1218,valid,K..k..i'm also fine:)when will you complete the course?,,,
1219,valid,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.",,,
1220,spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,,,
1221,valid,Prakesh is there know.,,,
1222,valid,Teach me apps da. When you come to college.,,,
1223,valid,Rofl betta invest in some  anti aging products,,,
1224,spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,
1225,valid,"sir, you will receive the account no another 1hr time. Sorry for the delay.",,,
1226,spam,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p,,,
1227,valid,So Ì_'ll be submitting da project tmr rite?,,,
1228,spam,FREE entry into our å£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,,,
1229,valid,Jus ans me lar. U'll noe later.,,,
1230,valid,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,,,
1231,valid,have got * few things to do. may be in * pub later.,,,
1232,valid,1's finish meeting call me.,,,
1233,valid,Lol ok. I'll snatch her purse too.,,,
1234,valid,"\Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx\""""",,,
1235,valid,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,,,
1236,valid,How much are we getting?,,,
1237,valid,Is ur paper in e morn or aft tmr?,,,
1238,valid,"Dear relieved of westonzoyland, all going to plan this end too!",,,
1239,valid,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,,,
1240,valid,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,,,
1241,valid,"I want to show you the world, princess :) how about europe?",,,
1242,valid,Nobody can decide where to eat and dad wants Chinese,,,
1243,valid,No shoot me. I'm in the docs waiting room. :/,,,
1244,valid,Now? I'm going out 4 dinner soon..,,,
1245,valid,Hello which the site to download songs its urgent pls,,,
1246,valid,"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! ",,,
1247,valid,Horrible gal. Me in sch doing some stuff. How come u got mc?,,,
1248,valid,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x",,,
1249,valid,"I call you later, don't have network. If urgnt, sms me.",,,
1250,valid,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,,,
1251,spam,Please CALL 08712402779 immediately as there is an urgent message waiting for you,,,
1252,valid,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,,,
1253,valid,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... ,,,
1254,valid,What your plan for pongal?,,,
1255,valid,Just wait till end of march when el nino gets himself. Oh.,,,
1256,valid,"Not yet chikku..going to room nw, i'm in bus..",,,
1257,valid,Am also doing in cbe only. But have to pay.,,,
1258,valid,Honey boo I'm missing u.,,,
1259,valid,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",,,
1260,valid,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem",,,
1261,valid,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!",,,
1262,spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",,,
1263,valid,Ok. No wahala. Just remember that a friend in need ...,,,
1264,valid,I will see in half an hour,,,
1265,valid,"Im in inperialmusic listening2the weirdest track ever byåÓleafcutter johnåÓ-sounds like insects being molested&someone plumbing,remixed by evil men on acid!",,,
1266,valid,\Hey sorry I didntgive ya a a bellearlier hunny,"just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx.\""""",,
1267,valid,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.,,,
1268,spam,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Callså£1/minmoremobsEMSPOBox45PO139WA,,,
1269,valid,"Tee hee. Off to lecture, cheery bye bye.",,,
1270,valid,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..",,,
1271,valid,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,,,
1272,valid,Ok...,,,
1273,spam,network operator. The service is free. For T & C's visit 80488.biz,,,
1274,valid,Let me know how to contact you. I've you settled in a room. Lets know you are ok.,,,
1275,valid,Wot u up 2 u weirdo?,,,
1276,valid,Can do lor...,,,
1277,valid,Dont put your phone on silent mode ok,,,
1278,valid,Can i meet Ì_ at 5.. As 4 where depends on where Ì_ wan 2 in lor..,,,
1279,valid,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,,,
1280,valid,Oh ho. Is this the first time u use these type of words,,,
1281,valid,Am I the only one who doesn't stalk profiles?,,,
1282,valid,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt""",,,
1283,valid,Yes i thought so. Thanks.,,,
1284,valid,But if she.s drinkin i'm ok.,,,
1285,valid,"Just wondering, the others just took off",,,
1286,valid,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",,,
1287,valid,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?",,,
1288,valid,Happy new year to u too!,,,
1289,valid,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May",,,
1290,valid,Eat jap done oso aft ur lect wat... ÌÏ got lect at 12 rite... ,,,
1291,valid,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?",,,
1292,valid,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,,,
1293,valid,Happy birthday... May all ur dreams come true...,,,
1294,valid,Aiyah u did ok already lar. E nydc at wheellock?,,,
1295,valid,TELL HER I SAID EAT SHIT.,,,
1296,valid,Sure! I am driving but will reach my destination soon.,,,
1297,valid,"K so am I, how much for an 8th? Fifty?",,,
1298,valid,Your daily text from me ÛÒ a favour this time,,,
1299,valid,Great to hear you are settling well. So what's happenin wit ola?,,,
1300,valid,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,,,
1301,valid,I tot u reach liao. He said t-shirt.,,,
1302,valid,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT",,,
1303,valid,I cant pick the phone right now. Pls send a message,,,
1304,valid,Your right! I'll make the appointment right now.,,,
1305,valid,Designation is software developer and may be she get chennai:),,,
1306,spam,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 ,,,
1307,spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",,,
1308,valid,I jokin oni lar.. ÌÏ busy then i wun disturb Ì_.,,,
1309,valid,"Ok, be careful ! Don't text and drive !",,,
1310,valid,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.",,,
1311,valid,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,,,
1312,valid,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,,,
1313,valid,How abt making some of the pics bigger?,,,
1314,valid,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,,,
1315,valid,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)",,,
1316,valid,Why nothing. Ok anyway give me treat,,,
